ranking,World Rank,University,Det.,Country,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
393,1614,Purdue University Northwest,,,4449,3793,2336,1222
394,1618,Liberty University,,,1335,287,2743,3718
395,1623,Trinity College,,,2063,607,2559,3122
396,1626,Bradley University,,,4421,702,1766,3092
397,1626,Grinnell College,,,2458,648,2456,3068
398,1629,New York Institute of Technology,,,5124,1464,1505,2375
399,1633,Eastern Virginia Medical School,,,8237,3308,2190,1351
400,1636,University of Central Arkansas,,,3329,841,1907,2900
401,1641,Central Washington University,,,2229,1076,2518,2595
402,1641,Franklin & Marshall College,,,4893,1387,1791,2395
403,1643,North Carolina Central University,,,4585,1017,1904,2706
404,1645,Abilene Christian University,,,3966,1113,3265,2324
405,1662,Davidson College,,,4846,514,2720,3220
406,1664,Hamilton College,,,2514,683,2584,3092
407,1676,Weber State University,,,3381,989,1443,2973
408,1681,Northern Kentucky University,,,2983,959,2073,2842
409,1691,Western Illinois University,,,2745,1023,1912,2863
410,1692,University of Wisconsin la Crosse,,,3324,1158,2163,2678
411,1693,Saint Joseph's University,,,4170,1421,1641,2568
412,1693,Florida Agricultural & Mechanical University,,,3631,1660,2021,2324
413,1699,Butler University,,,2710,728,2239,3189
414,1699,(4) Walden University (National Technological University),,,3127,760,2037,3166
415,1705,(3) Southern Illinois University School of Medicine,,,8368,2717,1926,1773
416,1706,Widener University,,,4410,857,2409,2914
417,1708,Tennessee State University,,,3868,1484,1998,2489
418,1714,William Paterson University of New Jersey,,,4410,1278,1946,2637
419,1722,Gonzaga University,,,3973,712,2104,3257
420,1726,Rollins College,,,4881,859,2192,3018
421,1727,Andrews University,,,2447,908,4266,2582
422,1727,College of the Holy Cross,,,3372,1078,2141,2834
423,1732,Stetson University,,,3221,720,2718,3166
424,1735,Texas Woman's University,,,4746,1163,1978,2763
425,1747,Connecticut College,,,4125,694,2855,3189
426,1751,Rider University,,,4746,840,2612,3018
427,1756,University of New England Maine,,,2800,1552,1984,2623
428,1759,Azusa Pacific University,,,3031,960,3195,2819
429,1762,La Salle University,,,4439,1392,2797,2500
430,1765,Colorado College,,,3276,666,2649,3333
431,1776,Marist College,,,2459,447,3054,3653
432,1778,Siena College,,,6168,1083,2757,2742
433,1779,Fairleigh Dickinson University,,,7054,888,2402,3018
434,1780,Wheaton College Illinois,,,3580,767,3482,3018
435,1781,State University of New York at Oswego,,,2621,818,1923,3358
436,1786,University of West Georgia,,,3868,863,1903,3282
437,1791,University of Dayton,,,2174,5513,824,1492
438,1798,Xavier University of Cincinnati,,,3927,1094,2899,2819
439,1810,High Point University,,,4194,1142,2457,2863
440,1815,Arkansas State University,,,3334,1330,2390,2785
441,1834,Pacific University Oregon,,,3039,986,2726,3106
442,1835,Claremont Mckenna College,,,5450,1520,1725,2785
443,1842,Coastal Carolina University,,,4569,1118,2170,3068
444,1842,Willamette University,,,2842,1038,2221,3189
445,1848,Chicago State University,,,8924,1801,3705,2141
446,1863,Delaware State University,,,10586,2491,3234,1934
447,1875,Valparaiso University,,,2922,950,3000,3189
448,1875,Lewis & Clark College,,,2430,623,2540,3718
449,1886,Drake University,,,3743,1030,2560,3189
450,1894,California State University Bakersfield,,,4485,1230,2470,2997
451,1894,CUNY Queens College,,,2238,6573,981,1406
452,1896,Seattle Pacific University,,,3221,1180,2481,3106
453,1902,Texas A&M University Kingsville,,,6664,2424,2092,2349
454,1903,Saint Olaf College,,,2154,838,3515,3306
455,1906,University of Baltimore,,,3062,932,2156,3471
456,1908,Kean University,,,4714,871,1847,3566
457,1915,Emerson College,,,4998,643,3533,3471
458,1916,Eastern Washington University,,,2999,829,3025,3412
459,1919,Catholic University of America,,,6055,1237,7356,1376
460,1923,Radford University,,,2846,786,2656,3566
461,1932,Southern Connecticut State University,,,4243,1892,2398,2687
462,1936,Rhodes College,,,4372,1252,2629,3068
463,1940,Troy University,,,6098,1105,2491,3189
464,1942,University of Houston Clear Lake,,,4183,1514,2010,3042
465,1942,Saint Cloud State University,,,4013,655,3053,3653
466,1955,University of Evansville,,,4986,889,3171,3333
467,1959,University of New Haven,,,5211,1827,1803,2863
468,1965,Western University of Health Sciences,,,6925,3313,2054,2118
469,1978,United States Military Academy at West Point,,,9350,1561,3521,2623
470,1982,University of Wisconsin Green Bay,,,1931,876,2893,3600
471,1987,Loyola University New Orleans,,,3387,1022,2972,3358
472,1990,University of Tampa,,,7026,2071,2115,2696
473,1990,CUNY Brooklyn College,,,2910,5912,977,1683
474,1996,Valdosta State University,,,3387,938,2655,3525
475,1999,University of Bridgeport,,,6726,1348,2581,3068
476,2001,Central Connecticut State University,,,3062,1044,2206,3525
477,2002,CUNY Baruch College,,,1456,5933,965,1779
478,2005,Christopher Newport University,,,5063,1428,2222,3141
479,2008,Campbell University,,,5331,1267,3410,2973
480,2015,Rosalind Franklin University of Medicine and Science,,,13193,4242,1365,1918
481,2018,Midwestern University,,,8669,3785,1798,2065
482,2023,Murray State University,,,3696,1722,2367,2973
483,2024,University of Hawaii System,,,158,57,135,6084
484,2026,Richard Stockton College,,,4372,971,2579,3525
485,2032,Northeastern Illinois University,,,4542,1219,2755,3238
486,2035,Depauw University,,,3022,868,3888,3412
487,2040,Southern University and A&M College,,,8116,2984,3876,1979
488,2044,Metropolitan State University of Denver,,,3944,2635,2438,2556
489,2048,Gallaudet University,,,4093,732,3366,3691
490,2050,Hampshire College,,,4660,787,4523,3306
491,2051,Clark Atlanta University,,,11661,1785,3242,2637
492,2052,Canisius College,,,4204,1362,2573,3238
493,2055,Ferris State University,,,3012,678,3901,3691
494,2057,College of Wooster,,,3302,1369,2986,3189
495,2065,Evergreen State College,,,2464,561,3527,3979
496,2065,Mercer University,,,4360,1333,1833,3438
497,2072,Rose Hulman Institute of Technology,,,2672,1396,2379,3358
498,2076,Buffalo State SUNY,,,2398,878,2196,3886
499,2077,Providence College,,,4542,1884,2804,2863
500,2078,Northern Michigan University,,,2483,1074,2589,3600
